component,location,carrier,0
Generator,ES0 0,Solar,0.17855613398221495
Generator,ES0 0,forest residues,0.00011415525170267528
Generator,ES0 0,industry wood,0.0001141552513489364
Generator,ES0 0,landscape care,0.00011415525300939778
Generator,ES0 0,manure and slurry,0.00011415525179038666
Generator,ES0 0,municipal solid waste,0.00011370268047715339
Generator,ES0 0,rural solar thermal,0.07187222715173025
Generator,ES0 0,sewage sludge,0.00011415524829423553
Generator,ES0 0,solar-hsat,0.19754527861453988
Generator,ES0 0,solid biomass,0.019157228000000002
Generator,ES0 0,straw,0.00011415525164155236
Generator,ES0 0,unsustainable biogas,0.00011415525137744595
Generator,ES0 0,unsustainable bioliquids,0.00011415525151187493
Generator,ES0 0,unsustainable solid biomass,0.00011412616479881199
Generator,ES0 0,urban central heat vent,0.13481023536975195
Generator,ES0 0,urban central solar thermal,0.047008250710670454
Generator,ES0 0,urban decentral heat vent,0.2009438966835568
Generator,ES0 0,urban decentral solar thermal,0.049423781046227536
Generator,ES6 0,Offshore Wind (AC),0.1840628507295174
Generator,ES6 0,Offshore Wind (Floating),0.1577350859453994
Generator,ES6 0,Onshore Wind,0.18430771374817087
Generator,ES6 0,Run of River,0.18169762581351726
Generator,ES6 0,Solar,0.17601891421050825
Generator,ES6 0,forest residues,0.00011415528217039791
Generator,ES6 0,industry wood,0.00011415534729896938
Generator,ES6 0,landscape care,0.00011415513795469225
Generator,ES6 0,manure and slurry,0.00011415510603327189
Generator,ES6 0,municipal solid waste,9.848063872917879e-05
Generator,ES6 0,rural solar thermal,0.07499145883156816
Generator,ES6 0,sewage sludge,0.00011415626660649423
Generator,ES6 0,solar-hsat,0.23173323483863145
Generator,ES6 0,solid biomass,0.000953454
Generator,ES6 0,straw,0.0001141552395857786
Generator,ES6 0,unsustainable biogas,0.0001141552525892177
Generator,ES6 0,unsustainable bioliquids,0.00011415524690736797
Generator,ES6 0,unsustainable solid biomass,0.000110566700466683
Generator,ES6 0,urban central heat vent,0.6401726139710003
Generator,ES6 0,urban central solar thermal,0.043953252032520325
Generator,ES6 0,urban decentral heat vent,0.1428808070434084
Generator,ES6 0,urban decentral solar thermal,0.028865164096480822
Generator,EU,co2-ets,0.00016888004353
