cost,component,location,carrier,0
capital,Generator,SI0 0,Offshore Wind (AC),1121.06082
capital,Generator,SI0 0,Offshore Wind (Floating),954.68947
capital,Generator,SI0 0,Onshore Wind,1741.63888
capital,Generator,SI0 0,Run of River,155445758.14368
capital,Generator,SI0 0,Solar,1570830.00231
capital,Generator,SI0 0,rural solar thermal,689.92991
capital,Generator,SI0 0,solar-hsat,9832.52447
capital,Generator,SI0 0,urban central solar thermal,1763.77232
capital,Generator,SI0 0,urban decentral solar thermal,813.33423
capital,Generator,SK0 0,Onshore Wind,3398.9291
capital,Generator,SK0 0,Run of River,375255980.16312
capital,Generator,SK0 0,Solar,23519793.43784
capital,Generator,SK0 0,rural solar thermal,674.04653
capital,Generator,SK0 0,solar-hsat,16053.17084
capital,Generator,SK0 0,urban central solar thermal,1385.66961
capital,Generator,SK0 0,urban decentral solar thermal,729.34803
capital,Generator,XK0 0,Onshore Wind,15622180.69451
capital,Generator,XK0 0,Run of River,9306745.23148
capital,Generator,XK0 0,Solar,8644534.58169
capital,Generator,XK0 0,rural solar thermal,58.86596
capital,Generator,XK0 0,solar-hsat,15502097.56921
capital,Generator,XK0 0,urban central solar thermal,2445.95706
capital,Generator,XK0 0,urban decentral solar thermal,1.27842
capital,Line,AL0 0,AC,79383299.72642
capital,Line,AT0 0,AC,452246931.39839
capital,Line,BA0 0,AC,128859045.24615
capital,Line,BE0 0,AC,132294395.04691
capital,Line,BG0 0,AC,240709785.26156
capital,Line,CH0 0,AC,495733044.13378
capital,Line,CZ0 0,AC,243022348.25193
capital,Line,DE0 0,AC,582820005.69249
capital,Line,DE0 1,AC,465191429.65178
capital,Line,DE0 2,AC,289218374.52188
capital,Line,DE0 3,AC,130297548.45686
capital,Line,DE0 4,AC,65855244.42637
capital,Line,DE0 5,AC,122467637.92028
capital,Line,DK1 0,AC,92018255.13598
capital,Line,EE0 0,AC,34479190.53832
capital,Line,ES0 0,AC,380252192.80472
capital,Line,FI1 0,AC,164747361.63609
capital,Line,FR0 0,AC,861062076.98221
capital,Line,FR0 1,AC,437004111.69808
capital,Line,FR0 2,AC,175983166.83606
capital,Line,FR0 4,AC,3451633.76
capital,Line,GB2 0,AC,457480582.84278
capital,Line,GB3 0,AC,47856526.08134
capital,Line,GR0 0,AC,48987285.47571
capital,Line,HR0 0,AC,183894692.23639
capital,Line,HU0 0,AC,273318958.65242
capital,Line,IT0 0,AC,280957341.92612
capital,Line,IT0 1,AC,38683404.46554
capital,Line,LT0 0,AC,107375434.77326
capital,Line,ME0 0,AC,53440462.96271
capital,Line,MK0 0,AC,37466027.51957
capital,Line,NO1 0,AC,128929177.92303
capital,Line,PL0 0,AC,51242287.83323
capital,Line,RO0 0,AC,110192312.03459
capital,Line,RS0 0,AC,20274705.30248
capital,Link,AL0 0,CO2 pipeline,161513.65031
capital,Link,AL0 0,Combined-Cycle Gas,2547.70423
capital,Link,AL0 0,EAF,4026.44484
capital,Link,AL0 0,H2 DRI,1939.38684
capital,Link,AL0 0,H2 Electrolysis,2047.6424
capital,Link,AL0 0,Haber-Bosch,19979.89158
capital,Link,AL0 0,Open-Cycle Gas,1683.19566
capital,Link,AL0 0,SMR,4508205.19987
capital,Link,AL0 0,Sabatier,881.15288
capital,Link,AL0 0,battery charger,3956.21943
capital,Link,AL0 0,biogas to gas,4227.20103
capital,Link,AL0 0,biomass to liquid,29067085.83017
capital,Link,AL0 0,biomass-to-methanol,2782.44965
capital,Link,AL0 0,electricity distribution grid,33828479.57645
capital,Link,AL0 0,gas DRI,3795.09556
capital,Link,AL0 0,gas pipeline new,7513095.0345
capital,Link,AL0 0,heat100-200 industry electric boiler steam,503.79503
capital,Link,AL0 0,heat100-200 industry gas,142648.99799
capital,Link,AL0 0,heat100-200 industry industrial heat pump high temperature,235133.79656
capital,Link,AL0 0,heat100-200 industry solid biomass,3288.84455
capital,Link,AL0 0,heat200-500 industry gas,15821.47535
capital,Link,AL0 0,heat200-500 industry hydrogen,193.71539
capital,Link,AL0 0,heat200-500 industry solid biomass,1168.23101
capital,Link,AL0 0,heat<100 industry electric boiler steam,506.26617
capital,Link,AL0 0,heat<100 industry gas,179112.14541
capital,Link,AL0 0,heat<100 industry industrial heat pump medium temperature,31271.704
capital,Link,AL0 0,heat<100 industry solid biomass,3408.24008
capital,Link,AL0 0,heat>500 industry gas,17280.8017
capital,Link,AL0 0,heat>500 industry hydrogen,184.14616
capital,Link,AL0 0,home battery charger,5456.70692
capital,Link,AL0 0,methanolisation,3853125.35499
